,Type,Name,Location,Capacity,Inspections,Phone
0,DAY CARE (FACILITY-BASED PROGRAM),CLAREVIEW DAY CARE CENTRE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7  ",43,view,  780-478-7421
1,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CLAREVIEW DAY CARE CENTRE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7  ",43,view,  780-478-7421
2,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),JUST'N OUT OF SCHOOL CARE OUR LADY OF MT.CARMEL,"10524 76 AVENUE  OUR LADY OF MT. CARMEL SCHOOL  EDMONTON, AB  T6E 1L3  ",27,view,  780-655-8344
3,PRE-SCHOOL (FACILITY-BASED PROGRAM),100 WORLDS PRESCHOOL,"503, 3 STONEGATE DRIVE  AIRDRIE, AB  T4B 0N2  ",24,view,  403-604-0426
4,DAY CARE (FACILITY-BASED PROGRAM),1000 WOMEN CHILD CARE,"10215 108 STREET  NORQUEST COLLEGE  EDMONTON, AB  T5J 1L6  ",56,view,  780-644-6029
5,DAY CARE (FACILITY-BASED PROGRAM),124 STREET GOLDSTAR DAYCARE,"10539 124 STREET NW  EDMONTON, AB  T5Z 0N5  ",105,view,  780-249-0124
6,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),124 STREET GOLDSTAR DAYCARE,"10539 124 STREET NW  EDMONTON, AB  T5Z 0N5  ",105,view,  780-249-0124
7,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),1ST CLASS AFTER CLASS - CLUBHOUSE,"2 NEW BRIGHTON DRIVE SE  CALGARY, AB  T2Z 4B2  ",131,view,  587-899-6090
8,PRE-SCHOOL (FACILITY-BASED PROGRAM),1ST CLASS AFTER CLASS - CLUBHOUSE,"2 NEW BRIGHTON DRIVE SE  CALGARY, AB  T2Z 4B2  ",131,view,  587-899-6090
9,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),1ST CLASS AFTER CLASS - DIVINE MERCY,"228 MAHOGANY BLVD SE  CALGARY, AB  T3M 1M5  ",200,view,  403-836-6090
10,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),1ST CLASS AFTER CLASS - FISH CREEK,"1039 SUNCASTLE DR SE  CALGARY, AB  T2X 2Z1  ",162,,  403-836-6090
11,PRE-SCHOOL (FACILITY-BASED PROGRAM),1ST CLASS AFTER CLASS - HERITAGE POINTE,"220, 412 PINE CREEK DRIVE  HERITAGE POINTE, AB  T1S 4H7  ",30,view,  587-899-6090
12,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),1ST CLASS AFTER CLASS - HERITAGE POINTE,"220, 412 PINE CREEK DRIVE  HERITAGE POINTE, AB  T1S 4H7  ",30,view,  587-899-6090
13,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),1ST CLASS AFTER CLASS - SIBYLLA KIDDLE,"126 CRANFORD DRIVE SE  CALGARY, AB  T3M 0W4  ",200,view,  403-836-6090
14,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),1ST CLASS AFTER CLASS - SILVERADO,"483 SILVERADO BLVD SW  CALGARY, AB  T2X 2E2  ",124,view,  403-836-6090
15,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),1ST CLASS AFTER CLASS - ST. ALBERT,"225 PRESTWICK AVENUE SE  CALGARY, AB  T2Z 3X3  ",150,view,  587-899-6090
16,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),1ST CLASS AFTER CLASS - ST. ISABELLA,"855 COPPERFIELD BLVD SE  CALGARY, AB  T2Z 4W8  ",90,view,  403-836-6090
17,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),1ST CLASS AFTER CLASS - ST. MARGUERITE,"1100 NEW BRIGHTON DRIVE SE  CALGARY, AB  T2Z 0W1  ",60,view,  403-836-6090
18,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),1ST CLASS AFTER CLASS - ST. WILLIAM,"11020 FAIRMOUNT DRIVE SE  CALGARY, AB  T2J 0T1  ",89,view,  403-836-6990
19,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),1ST CLASS AFTER CLASS-NEW BRIGHTON,"30 NEW BRIGHTON DRIVE SE  CALGARY, AB  T2Z 4B2  ",182,view,  403-836-6090
20,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),1ST CLASS CHILDCARE - 130TH,"515, 4916 - 130 AVENUE SE  CALGARY, AB  T2Z 0G4  ",105,view,  403-836-6090
21,DAY CARE (FACILITY-BASED PROGRAM),1ST CLASS CHILDCARE - 130TH,"515, 4916 - 130 AVENUE SE  CALGARY, AB  T2Z 0G4  ",105,view,  403-836-6090
22,DAY CARE (FACILITY-BASED PROGRAM),1ST CLASS CHILDCARE - SETON,"205, 3815 FRONT STREET SE  CALGARY, AB  T3M 2J6  ",116,view,  403-899-6090
23,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),1ST CLASS CHILDCARE - SETON,"205, 3815 FRONT STREET SE  CALGARY, AB  T3M 2J6  ",116,view,  403-899-6090
24,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),1ST CLASS CHILDCARE - SHAWNESSY,"504, 303 SHAWVILLE BLVD SE  CALGARY, AB  T2Y 3W6  ",119,view,  403-500-0490
25,DAY CARE (FACILITY-BASED PROGRAM),1ST CLASS CHILDCARE - SHAWNESSY,"504, 303 SHAWVILLE BLVD SE  CALGARY, AB  T2Y 3W6  ",119,view,  403-500-0490
26,PRE-SCHOOL (FACILITY-BASED PROGRAM),1ST CLASS CHILDCARE - SHAWNESSY,"504, 303 SHAWVILLE BLVD SE  CALGARY, AB  T2Y 3W6  ",119,view,  403-500-0490
27,DAY CARE (FACILITY-BASED PROGRAM),2000 DAYS PRE-KINDERGARTEN,"5728 - 1 STREET SW  CALGARY, AB  T2H 0E2  ",79,view,  403-319-2332
28,DAY CARE (FACILITY-BASED PROGRAM),A & D CHILD CARE CENTRE,"101 957 FIR STREET  SHERWOOD PARK, AB  T8A 4N6  ",110,view,  780-467-6363
29,PRE-SCHOOL (FACILITY-BASED PROGRAM),A & D CHILD CARE CENTRE,"101 957 FIR STREET  SHERWOOD PARK, AB  T8A 4N6  ",110,view,  780-467-6363
30,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),A & D CHILD CARE CENTRE,"101 957 FIR STREET  SHERWOOD PARK, AB  T8A 4N6  ",110,view,  780-467-6363
31,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),A B C DAY CARE CENTRE,"13586 FORT ROAD  EDMONTON, AB  T5A 1C5  ",52,view,  780-476-2596
32,DAY CARE (FACILITY-BASED PROGRAM),A B C DAY CARE CENTRE,"13586 FORT ROAD  EDMONTON, AB  T5A 1C5  ",52,view,  780-476-2596
33,DAY CARE (FACILITY-BASED PROGRAM),A BRIGHT BEGINNING CHILD CARE CENTRE,"10226 108 AVENUE  GRANDE PRAIRIE, AB  T8V 1P5  ",103,view,  780-532-9170
34,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),A BRIGHT BEGINNING CHILD CARE CENTRE,"10226 108 AVENUE  GRANDE PRAIRIE, AB  T8V 1P5  ",103,view,  780-532-9170
35,PRE-SCHOOL (FACILITY-BASED PROGRAM),A CHILD FIRST PRESCHOOL INC.,"21 HIGH STREET SE  CALGARY, AB  T2Z 3T7  ",24,view,  403-257-7966
36,PRE-SCHOOL (FACILITY-BASED PROGRAM),A CHILD FIRST PRESCHOOL INC.,"214, 10 CHAPARRAL DRIVE SE  CALGARY, AB  T2X 3R7  ",24,view,  403-201-4665
37,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),A CHILD FIRST PRESCHOOL INC. - EVERGREEN,"322 EVERRIDGE DRIVE SW  CALGARY, AB  T2Y 0L5  ",45,view,  403-826-4333
38,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),A CHILD FIRST PRESCHOOL INC. - ST. SEBASTIAN,"65 CHAPARRAL DRIVE SE  CALGARY, AB  T2X 0E6  ",60,view,  403-689-7944
39,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),A CHILD FIRST PRESCHOOL INC. -ST. GIANNA,"800 AUBURN BAY BLVD SE  CALGARY, AB  T3M 0H7  ",100,view,  403-470-2309
