Type,Name,Location,Capacity,Phone
DAY CARE (FACILITY-BASED PROGRAM),CLAREVIEW DAY CARE CENTRE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",43,780-478-7421
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CLAREVIEW DAY CARE CENTRE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",43,780-478-7421
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),JUST'N OUT OF SCHOOL CARE OUR LADY OF MT.CARMEL,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",27,780-655-8344
PRE-SCHOOL (FACILITY-BASED PROGRAM),100 WORLDS PRESCHOOL,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",24,403-604-0426
DAY CARE (FACILITY-BASED PROGRAM),1000 WOMEN CHILD CARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",56,780-644-6029
DAY CARE (FACILITY-BASED PROGRAM),124 STREET GOLDSTAR DAYCARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",105,780-249-0124
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),124 STREET GOLDSTAR DAYCARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",105,780-249-0124
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),1ST CLASS AFTER CLASS - CLUBHOUSE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",131,587-899-6090
PRE-SCHOOL (FACILITY-BASED PROGRAM),1ST CLASS AFTER CLASS - CLUBHOUSE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",131,587-899-6090
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),1ST CLASS AFTER CLASS - DIVINE MERCY,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",200,403-836-6090
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),1ST CLASS AFTER CLASS - FISH CREEK,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",162,403-836-6090
PRE-SCHOOL (FACILITY-BASED PROGRAM),1ST CLASS AFTER CLASS - HERITAGE POINTE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",30,587-899-6090
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),1ST CLASS AFTER CLASS - HERITAGE POINTE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",30,587-899-6090
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),1ST CLASS AFTER CLASS - SIBYLLA KIDDLE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",200,403-836-6090
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),1ST CLASS AFTER CLASS - SILVERADO,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",124,403-836-6090
