Type,Name,Location,Capacity,Phone
DAY CARE (FACILITY-BASED PROGRAM),CLAREVIEW DAY CARE CENTRE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",43,780-478-7421
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),CLAREVIEW DAY CARE CENTRE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",43,780-478-7421
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),JUST'N OUT OF SCHOOL CARE OUR LADY OF MT.CARMEL,"10524 76 AVENUE  OUR LADY OF MT. CARMEL SCHOOL  EDMONTON, AB  T6E 1L3",27,780-655-8344
PRE-SCHOOL (FACILITY-BASED PROGRAM),100 WORLDS PRESCHOOL,"503, 3 STONEGATE DRIVE  AIRDRIE, AB  T4B 0N2",24,403-604-0426
DAY CARE (FACILITY-BASED PROGRAM),1000 WOMEN CHILD CARE,"10215 108 STREET  NORQUEST COLLEGE  EDMONTON, AB  T5J 1L6",56,780-644-6029
DAY CARE (FACILITY-BASED PROGRAM),124 STREET GOLDSTAR DAYCARE,"10539 124 STREET NW  EDMONTON, AB  T5Z 0N5",105,780-249-0124
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),124 STREET GOLDSTAR DAYCARE,"10539 124 STREET NW  EDMONTON, AB  T5Z 0N5",105,780-249-0124
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),1ST CLASS AFTER CLASS - CLUBHOUSE,"2 NEW BRIGHTON DRIVE SE  CALGARY, AB  T2Z 4B2",131,587-899-6090
PRE-SCHOOL (FACILITY-BASED PROGRAM),1ST CLASS AFTER CLASS - CLUBHOUSE,"2 NEW BRIGHTON DRIVE SE  CALGARY, AB  T2Z 4B2",131,587-899-6090
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),1ST CLASS AFTER CLASS - DIVINE MERCY,"228 MAHOGANY BLVD SE  CALGARY, AB  T3M 1M5",200,403-836-6090
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),1ST CLASS AFTER CLASS - FISH CREEK,"1039 SUNCASTLE DR SE  CALGARY, AB  T2X 2Z1",162,403-836-6090
PRE-SCHOOL (FACILITY-BASED PROGRAM),1ST CLASS AFTER CLASS - HERITAGE POINTE,"220, 412 PINE CREEK DRIVE  HERITAGE POINTE, AB  T1S 4H7",30,587-899-6090
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),1ST CLASS AFTER CLASS - HERITAGE POINTE,"220, 412 PINE CREEK DRIVE  HERITAGE POINTE, AB  T1S 4H7",30,587-899-6090
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),1ST CLASS AFTER CLASS - SIBYLLA KIDDLE,"126 CRANFORD DRIVE SE  CALGARY, AB  T3M 0W4",200,403-836-6090
